Packet,Temperature in F,Humidity %rH,Date,IR Pixel Temp in F,eCo2 (ppm),TVOC (ppb),Raw H2,Raw Ethanol,Mic Noise,Weight (lbs)
3.0,74.28,8.97,13:07:30,74.3,400.0,0.0,14761.0,19211.0,380.0,4.45
4.0,74.38,8.73,13:08:37,74.75,400.0,0.0,14840.0,19282.0,387.0,4.46
5.0,74.38,8.83,13:09:38,72.95,400.0,0.0,14845.0,19297.0,412.0,3.54
6.0,74.24,8.43,13:10:43,71.15,400.0,0.0,14874.0,19344.0,401.0,3.68
7.0,81.08,66.85,13:11:44,75.2,400.0,0.0,14880.0,19342.0,400.0,3.62
8.0,81.11,71.57,13:12:51,75.2,400.0,0.0,14858.0,19332.0,402.0,3.7
9.0,77.3,8.66,13:13:57,73.85,400.0,0.0,14872.0,19363.0,405.0,3.98
10.0,75.19,9.14,13:14:59,72.95,400.0,0.0,14861.0,19343.0,408.0,10.63
11.0,74.24,8.7,13:16:01,72.5,400.0,0.0,14880.0,19372.0,395.0,7.97
12.0,73.95,8.63,13:17:05,75.2,400.0,0.0,14888.0,19378.0,401.0,7.9
13.0,74.04,9.52,13:18:07,73.4,400.0,0.0,14882.0,19369.0,400.0,7.89
14.0,73.96,8.74,13:19:11,74.75,400.0,0.0,14879.0,19369.0,403.0,7.85
15.0,73.79,8.56,13:20:13,74.3,400.0,0.0,14883.0,19385.0,391.0,7.81
16.0,73.85,8.68,13:21:15,72.95,400.0,0.0,14879.0,19380.0,392.0,7.83
17.0,74.0,8.41,13:22:22,76.1,400.0,0.0,14905.0,19412.0,404.0,3.34
18.0,74.03,8.41,13:23:24,74.75,400.0,0.0,14856.0,19376.0,399.0,3.35
19.0,73.85,8.56,13:24:41,73.4,400.0,0.0,14875.0,19406.0,395.0,2.45
20.0,73.8,8.71,13:25:48,75.2,400.0,0.0,14880.0,19396.0,399.0,2.88
21.0,73.82,8.46,13:26:50,75.65,400.0,0.0,14907.0,19434.0,400.0,2.7
22.0,73.89,8.99,13:27:51,74.75,400.0,0.0,14893.0,19424.0,397.0,2.57
